STATE,CONSTITUENCY,TOTAL_VOTES
"ANDHRA PRADESH",MALKAJGIRI,1620397
ASSAM,GAUHATI,1511729
KARNATAKA,"BANGALORE RURAL",1455244
ASSAM,DHUBRI,1369624
"WEST BENGAL",GHATAL,1366709
"WEST BENGAL",ARAMBAGH,1361934
KARNATAKA,"BANGALORE NORTH",1356718
"NCT OF DELHI","NORTH WEST DELHI",1356036
"WEST BENGAL",RANAGHAT,1353196
"WEST BENGAL",HOOGHLY,1348870
"NCT OF DELHI","WEST DELHI",1347971
"UTTAR PRADESH",GHAZIABAD,1342320
"WEST BENGAL",TAMLUK,1337684
"WEST BENGAL","COOCH BEHAR",1332409
"WEST BENGAL",BURDWAN,1331242
"WEST BENGAL","BARDHAMAN PURBA",1320922
"UTTAR PRADESH",JHANSI,1320804
HARYANA,GURGAON,1320619
"NCT OF DELHI","NORTH EAST DELHI",1317338
"MADHYA PRADESH",INDORE,1316817
"ANDHRA PRADESH",CHELVELLA,1315862
"WEST BENGAL",BOLPUR,1304756
"WEST BENGAL",JALPAIGURI,1302117
RAJASTHAN,JAIPUR,1296806
"WEST BENGAL",KANTHI,1290811
"WEST BENGAL",SRERAMPUR,1290433
"WEST BENGAL",MURSHIDABAD,1287763
"TAMIL NADU",SRIPERUMBUDUR,1286647
"WEST BENGAL",BANGAON,1283688
"ANDHRA PRADESH",NARASARAOPET,1282058
HARYANA,SIRSA,1279105
"WEST BENGAL",BIRBHUM,1275819
"WEST BENGAL",BASIRHAT,1273771
"WEST BENGAL",JADAVPUR,1272362
"WEST BENGAL",BISHNUPUR,1272070
"WEST BENGAL",BARASAT,1269331
"WEST BENGAL",MATHURAPUR,1265531
KARNATAKA,CHIKKBALLAPUR,1263274
"WEST BENGAL","DIAMOND HARBOUR",1261296
MAHARASHTRA,KOLHAPUR,1260289
"WEST BENGAL",MEDINIPUR,1260032
CHHATTISGARH,DURG,1258342
"WEST BENGAL",JHARGRAM,1257613
"MADHYA PRADESH",KHANDWA,1257327
RAJASTHAN,GANGANAGAR,1256806
"TAMIL NADU",THIRUVALLUR,1254440
"JAMMU & KASHMIR",JAMMU,1253593
CHHATTISGARH,RAIPUR,1250845
"WEST BENGAL",KRISHNANAGAR,1247914
CHHATTISGARH,RAIGARH,1246186
"ANDHRA PRADESH",GUNTUR,1244926
"WEST BENGAL",BANKURA,1236319
ASSAM,MANGALDOI,1233237
MAHARASHTRA,BEED,1232202
ASSAM,NOWGONG,1230074
ASSAM,KOKRAJHAR,1223869
"WEST BENGAL",ALIPURDUARS,1223566
RAJASTHAN,BARMER,1219119
HARYANA,AMBALA,1218995
"MADHYA PRADESH",MANDLA,1218518
"ANDHRA PRADESH",TIRUPATI,1213064
"ANDHRA PRADESH",BHONGIR,1211943
"ANDHRA PRADESH",ONGOLE,1208225
KARNATAKA,"DAKSHINA KANNADA",1207474
GUJARAT,BARDOLI,1206179
ASSAM,BARPETA,1205863
"ANDHRA PRADESH",ANANTAPUR,1205054
"ANDHRA PRADESH",NANDYAL,1204956
"WEST BENGAL",PURULIA,1204675
"ANDHRA PRADESH",ELURU,1201696
"UTTAR PRADESH",UNNAO,1201603
"ANDHRA PRADESH",KADAPA,1200662
"UTTAR PRADESH","GAUTAM BUDDHA NAGAR",1199238
"ANDHRA PRADESH",CHITTOOR,1198915
MAHARASHTRA,BHANDARA,1197196
"NCT OF DELHI","EAST DELHI",1196336
"ANDHRA PRADESH",VIJAYAWADA,1195075
"UTTAR PRADESH",SAHARANPUR,1194308
HARYANA,KARNAL,1193500
RAJASTHAN,UDAIPUR,1193202
KARNATAKA,MANDYA,1192638
"ANDHRA PRADESH",MEDAK,1191096
"ANDHRA PRADESH",NALGONDA,1189399
MAHARASHTRA,HATKANANGLE,1188871
"ANDHRA PRADESH",NELLORE,1187648
CHHATTISGARH,SARGUJA,1187321
"WEST BENGAL",JOYNAGAR,1186052
"WEST BENGAL",ULUBERIA,1186027
"ANDHRA PRADESH",BAPATLA,1184634
"ANDHRA PRADESH",KHAMMAM,1182897
CHHATTISGARH,RAJNANDGAON,1178296
"ANDHRA PRADESH",HINDUPUR,1177257
PUNJAB,BATHINDA,1176767
"TAMIL NADU",COIMBATORE,1176620
UTTARAKHAND,HARDWAR,1175692
"ANDHRA PRADESH",WARANGAL,1174631
MAHARASHTRA,MAVAL,1174335
RAJASTHAN,CHITTORGARH,1172629
RAJASTHAN,BANSWARA,1171188
ODISHA,BOLANGIR,1170405
"WEST BENGAL","KOLKATA DAKSHIN",1167979
ASSAM,KALIABOR,1166490
"ANDHRA PRADESH",VISAKHAPATNAM,1163558
"WEST BENGAL","MALDAHA UTTAR",1162985
MAHARASHTRA,PARBHANI,1162233
GUJARAT,VADODARA,1161577
"MADHYA PRADESH",MANDSOUR,1161349
GUJARAT,NAVSARI,1160747
KARNATAKA,MYSORE,1159594
"ANDHRA PRADESH",RAJAMPET,1158317
RAJASTHAN,AJMER,1156314
HARYANA,HISAR,1155914
RAJASTHAN,KOTA,1154960
"WEST BENGAL",BAHARAMPUR,1154587
"ANDHRA PRADESH",RAJAHMUNDRY,1154381
"MADHYA PRADESH",KHARGONE,1152525
"TAMIL NADU",SALEM,1150296
"ANDHRA PRADESH",ANAKAPALLI,1148072
KARNATAKA,HASSAN,1147172
RAJASTHAN,JHALAWAR-BARAN,1146364
"MADHYA PRADESH",DEWAS,1143968
JHARKHAND,DHANBAD,1143902
"WEST BENGAL",ASANSOL,1142395
"WEST BENGAL",DARJEELING,1142009
"ANDHRA PRADESH",MACHILIPATNAM,1141065
ODISHA,KENDRAPARA,1140999
HARYANA,KURUKSHETRA,1135892
GUJARAT,GANDHINAGAR,1135495
KARNATAKA,CHAMARAJANAGAR,1133029
"WEST BENGAL","DUM DUM",1132644
ODISHA,JAGATSINGHPUR,1131932
CHHATTISGARH,MAHASAMUND,1131209
RAJASTHAN,CHURU,1131104
HARYANA,FARIDABAD,1130726
"MADHYA PRADESH",BHOPAL,1130182
"UTTAR PRADESH",SHAHJAHANPUR,1129841
KARNATAKA,SHIMOGA,1129008
"TAMIL NADU",KANCHEEPURAM,1128399
"UTTAR PRADESH",MORADABAD,1127965
KARNATAKA,KOLAR,1127323
"ANDHRA PRADESH",KARIMNAGAR,1125691
"WEST BENGAL",HOWRAH,1125399
"ANDHRA PRADESH",MAHABUBABAD,1124370
ODISHA,BARGARH,1123301
GUJARAT,VALSAD,1122203
PUNJAB,PATIALA,1120933
"ANDHRA PRADESH",AMALAPURAM,1120927
"ANDHRA PRADESH",VIZIANAGARAM,1120316
"UTTAR PRADESH",KAIRANA,1119324
"WEST BENGAL",JANGIPUR,1119084
MAHARASHTRA,OSMANABAD,1118151
ODISHA,KALAHANDI,1117536
MAHARASHTRA,NANDURBAR,1116676
"UTTAR PRADESH",MOHANLALGANJ,1116588
KARNATAKA,HAVERI,1115968
KARNATAKA,DAVANAGERE,1114868
"UTTAR PRADESH",KANNAUJ,1114460
KARNATAKA,"BANGALORE SOUTH",1113726
"UTTAR PRADESH",MEERUT,1113384
"MADHYA PRADESH",BALAGHAT,1113364
ASSAM,LAKHIMPUR,1111975
MAHARASHTRA,CHANDRAPUR,1109743
"UTTAR PRADESH",JALAUN,1109166
"ANDHRA PRADESH",NAGARKURNOOL,1108968
"WEST BENGAL",RAIGANJ,1108193
"MADHYA PRADESH",CHHINDWARA,1107498
"UTTAR PRADESH",MUZAFFARNAGAR,1107434
"TAMIL NADU",KALLAKURICHI,1107241
PUNJAB,FIROZPUR,1105412
"UTTAR PRADESH",FIROZABAD,1104606
RAJASTHAN,BHILWARA,1104090
"NCT OF DELHI","SOUTH DELHI",1102410
KARNATAKA,TUMKUR,1101484
UTTARAKHAND,"NAINITAL-UDHAMSINGH NAGAR",1101435
"TAMIL NADU",DHARMAPURI,1101345
GUJARAT,"CHHOTA UDAIPUR",1100542
PUNJAB,LUDHIANA,1100457
"ANDHRA PRADESH",KAKINADA,1099999
PUNJAB,SANGRUR,1099467
KARNATAKA,CHITRADURGA,1096499
"TAMIL NADU",ARANI,1096046
"UTTAR PRADESH",AMROHA,1095860
RAJASTHAN,PALI,1095587
"ANDHRA PRADESH",ZAHIRABAD,1094806
GUJARAT,SABARKANTHA,1094002
"WEST BENGAL","MALDAHA DAKSHIN",1092407
CHHATTISGARH,BILASPUR,1090457
MAHARASHTRA,SHIRUR,1089506
"TAMIL NADU",ARAKKONAM,1089052
"ANDHRA PRADESH",NARSAPURAM,1088951
"TAMIL NADU",CHIDAMBARAM,1088423
RAJASTHAN,JALORE,1087272
PUNJAB,"ANANDPUR SAHIB",1086563
MAHARASHTRA,NAGPUR,1085058
ODISHA,KEONJHAR,1083869
"TAMIL NADU",DINDIGUL,1083364
"MADHYA PRADESH",RATLAM,1082681
ODISHA,BHADRAK,1081339
"TAMIL NADU","CHENNAI SOUTH",1081163
MAHARASHTRA,MADHA,1079619
KARNATAKA,BAGALKOT,1079310
RAJASTHAN,JODHPUR,1078598
KARNATAKA,BELGAUM,1078547
"UTTAR PRADESH",KHERI,1077868
BIHAR,BEGUSARAI,1077855
"UTTAR PRADESH",MATHURA,1076868
"MADHYA PRADESH",DHAR,1076816
"TAMIL NADU",THENI,1075583
KARNATAKA,"BANGALORE CENTRAL",1074589
"MADHYA PRADESH",VIDISHA,1073473
CHHATTISGARH,JANJGIR-CHAMPA,1073347
TRIPURA,"TRIPURA WEST",1072749
KARNATAKA,CHIKKODI,1071103
"UTTAR PRADESH",AGRA,1070400
"TAMIL NADU",KRISHNAGIRI,1068391
"UTTAR PRADESH",BARABANKI,1068168
"TAMIL NADU",VILUPPURAM,1067641
"TAMIL NADU",TIRUVANNAMALAI,1067447
MAHARASHTRA,BARAMATI,1066556
MAHARASHTRA,JALNA,1066259
RAJASTHAN,SIKAR,1065750
"ANDHRA PRADESH",KURNOOL,1065732
"UTTAR PRADESH",ALIGARH,1064357
"WEST BENGAL",BALURGHAT,1063053
MAHARASHTRA,AHMADNAGAR,1062318
RAJASTHAN,ALWAR,1062305
"UTTAR PRADESH",BIJNOR,1060346
"UTTAR PRADESH",DHAURAHRA,1060271
GUJARAT,BHARUCH,1060211
"TAMIL NADU",NAMAKKAL,1058755
MAHARASHTRA,LATUR,1057156
GUJARAT,RAJKOT,1057069
"UTTAR PRADESH",SAMBHAL,1057002
"UTTAR PRADESH",FATEHPUR,1056688
"UTTAR PRADESH",MAHARAJGANJ,1056078
MAHARASHTRA,THANE,1054189
ODISHA,MAYURBHANJ,1053399
CHHATTISGARH,KORBA,1052720
"ANDHRA PRADESH",SRIKAKULAM,1051446
MAHARASHTRA,HINGOLI,1051164
"WEST BENGAL",BARRACKPORE,1051130
"UTTAR PRADESH",PILIBHIT,1050547
MAHARASHTRA,RAMTEK,1050316
"TAMIL NADU",TIRUPPUR,1050190
JHARKHAND,RANCHI,1049783
ODISHA,BALASORE,1049450
JHARKHAND,GODDA,1049442
"UTTAR PRADESH",HATHRAS,1049273
JHARKHAND,JAMSHEDPUR,1049140
"UTTAR PRADESH",BASTI,1048534
"MADHYA PRADESH",BETUL,1047719
MAHARASHTRA,SANGLI,1046659
"TAMIL NADU",KARUR,1046534
"ANDHRA PRADESH",ADILABAD,1045839
KARNATAKA,BELLARY,1045772
HARYANA,ROHTAK,1044331
RAJASTHAN,"TONK-SAWAI MADHOPUR",1043040
PUNJAB,GURDASPUR,1042699
ODISHA,DHENKANAL,1042101
"JAMMU & KASHMIR",UDHAMPUR,1041758
KARNATAKA,DHARWAD,1041226
PUNJAB,JALANDHAR,1040762
PUNJAB,"KHADOOR SAHIB",1040518
"UTTAR PRADESH",GORAKHPUR,1040199
"UTTAR PRADESH",GHOSI,1039656
ODISHA,PURI,1039389
NAGALAND,NAGALAND,1038910
BIHAR,MADHEPURA,1034799
"UTTAR PRADESH","AMBEDKAR NAGAR",1034404
KARNATAKA,"UDUPI CHIKMAGALUR",1034108
"ANDHRA PRADESH",NIZAMABAD,1033924
"UTTAR PRADESH",LUCKNOW,1033783
MAHARASHTRA,YAVATMAL-WASHIM,1032949
PUNJAB,FARIDKOT,1032107
"MADHYA PRADESH",HOSHANGABAD,1031175
PUNJAB,"FATEHGARH SAHIB",1030954
"TAMIL NADU",PERAMBALUR,1030826
"UTTAR PRADESH",VARANASI,1030685
HARYANA,BHIWANI-MAHENDRAGARH,1030431
"UTTAR PRADESH",BADAUN,1027594
MAHARASHTRA,GADCHIROLI-CHIMUR,1027129
"TAMIL NADU",SIVAGANGA,1027036
"UTTAR PRADESH",SITAPUR,1026972
"TAMIL NADU",MAYILADUTHURAI,1025538
JHARKHAND,KODARMA,1024906
"UTTAR PRADESH",FAIZABAD,1022716
"ANDHRA PRADESH",PEDDAPALLE,1022184
ODISHA,NABARANGPUR,1022172
"TAMIL NADU",TENKASI,1017938
"UTTAR PRADESH",BAREILLY,1017891
BIHAR,PURNIA,1017732
CHHATTISGARH,KANKER,1016943
"MADHYA PRADESH",UJJAIN,1016405
"ANDHRA PRADESH",MAHBUBNAGAR,1014800
RAJASTHAN,"JAIPUR RURAL",1013691
MAHARASHTRA,WARDHA,1013445
MAHARASHTRA,NANDED,1013350
"TAMIL NADU",POLLACHI,1012667
"TAMIL NADU",THANJAVUR,1012258
"UTTAR PRADESH","SANT KABIR NAGAR",1011649
"TAMIL NADU",VIRUDHUNAGAR,1010930
"MADHYA PRADESH",RAJGARH,1010724
ODISHA,SUNDARGARH,1010711
"UTTAR PRADESH",BULANDSHAHR,1009710
MAHARASHTRA,RAVER,1009213
"TAMIL NADU",ERODE,1008582
"UTTAR PRADESH",MIRZAPUR,1007627
PUNJAB,AMRITSAR,1007196
"UTTAR PRADESH",JAUNPUR,1007143
KARNATAKA,KOPPAL,1006508
RAJASTHAN,JHUNJHUNU,1006465
"UTTAR PRADESH",BAGHPAT,1004263
GUJARAT,MAHESANA,1004258
MAHARASHTRA,AMRAVATI,1004061
RAJASTHAN,NAGAUR,1004019
"ANDHRA PRADESH",SECUNDRABAD,1003769
"MADHYA PRADESH",JABALPUR,1002184
"TAMIL NADU",RAMANATHAPURAM,1001048
KARNATAKA,"UTTARA KANNADA",1001038
"UTTAR PRADESH",MAINPURI,999265
"UTTAR PRADESH",MISRIKH,998314
"UTTAR PRADESH",MACHHLISHAHR,997902
KARNATAKA,GULBARGA,997638
KERALA,ALAPPUZHA,997464
"UTTAR PRADESH",AONLA,995641
MAHARASHTRA,PUNE,993274
MAHARASHTRA,PALGHAR,992618
"MADHYA PRADESH",GWALIOR,990912
"TAMIL NADU",KANNIYAKUMARI,990742
MAHARASHTRA,JALGAON,990332
ODISHA,KORAPUT,989444
"MADHYA PRADESH",SIDHI,989396
"TAMIL NADU",TIRUCHIRAPPALLI,988250
MAHARASHTRA,RAIGAD,987766
"UTTAR PRADESH",GHAZIPUR,986673
HARYANA,SONIPAT,985637
GUJARAT,"AHMEDABAD EAST",985525
"TAMIL NADU",CUDDALORE,984538
ODISHA,SAMBALPUR,984309
MAHARASHTRA,DHULE,983083
MAHARASHTRA,AURANGABAD,982933
RAJASTHAN,RAJSAMAND,982119
"NCT OF DELHI","CHANDNI CHOWK",981863
"UTTAR PRADESH",BHADOHI,981552
ASSAM,TEZPUR,980688
"UTTAR PRADESH",CHANDAULI,980572
ODISHA,JAJPUR,980435
"UTTAR PRADESH",SHRAWASTI,979638
BIHAR,PATALIPUTRA,978649
MAHARASHTRA,BULDHANA,978626
ODISHA,CUTTACK,978604
MAHARASHTRA,AKOLA,978491
"TAMIL NADU",MADURAI,978346
BIHAR,KATIHAR,977830
JHARKHAND,PALAMAU,977323
MAHARASHTRA,SATARA,976681
"MADHYA PRADESH",GUNA,976629
BIHAR,ARARIA,975811
"UTTAR PRADESH",HAMIRPUR,975240
"TAMIL NADU",VELLORE,974770
KERALA,KASARAGOD,974215
BIHAR,BHAGALPUR,974016
"UTTAR PRADESH",HARDOI,972894
"UTTAR PRADESH",DEORIA,971557
"ANDHRA PRADESH",HYDERABAD,971421
"UTTAR PRADESH",AKBARPUR,971375
GUJARAT,ANAND,970894
"UTTAR PRADESH",FARRUKHABAD,970677
BIHAR,SUPAUL,970528
MAHARASHTRA,DINDORI,970182
JHARKHAND,GIRIDIH,969997
"NCT OF DELHI","NEW DELHI",969812
KARNATAKA,RAICHUR,968889
"MADHYA PRADESH",SHAHDOL,968518
"UTTAR PRADESH","FATEHPUR SIKRI",967968
JHARKHAND,HAZARIBAGH,967152
KARNATAKA,BIJAPUR,966757
"UTTAR PRADESH",SULTANPUR,964981
GUJARAT,"AHMEDABAD WEST",964609
RAJASTHAN,BHARATPUR,962432
"TAMIL NADU",TIRUNELVELI,962330
PUNJAB,HOSHIARPUR,961297
"UTTAR PRADESH",PHULPUR,960341
"UTTAR PRADESH",AZAMGARH,960218
KARNATAKA,BIDAR,959384
KERALA,VADAKARA,959342
"UTTAR PRADESH",RAMPUR,956389
GUJARAT,KHEDA,955906
GUJARAT,PATAN,955799
"WEST BENGAL","KOLKATA UTTAR",955778
JHARKHAND,RAJMAHAL,951563
MAHARASHTRA,SOLAPUR,951201
TRIPURA,"TRIPURA EAST",951110
"UTTAR PRADESH","KUSHI NAGAR",950445
BIHAR,MUZAFFARPUR,948887
GUJARAT,SURAT,947922
KERALA,KANNUR,947117
MAHARASHTRA,"MUMBAI NORTH",946562
GUJARAT,KACHCHH,946240
GUJARAT,SURENDRANAGAR,944677
"UTTAR PRADESH",KAISERGANJ,943357
KERALA,KOZHIKODE,943009
"UTTAR PRADESH",BALLIA,942211
"TAMIL NADU",NAGAPATTINAM,942202
"UTTAR PRADESH",NAGINA,942196
GUJARAT,JUNAGADH,941378
BIHAR,JHANJHARPUR,941249
"UTTAR PRADESH",ETAWAH,939604
MAHARASHTRA,NASHIK,937405
"UTTAR PRADESH",DOMARIYAGANJ,935027
"UTTAR PRADESH",BAHRAICH,934263
GUJARAT,PANCHMAHAL,933461
"TAMIL NADU",NILGIRIS,933076
MAHARASHTRA,SHIRDI,932645
ASSAM,JORHAT,931336
RAJASTHAN,DAUSA,930492
RAJASTHAN,BIKANER,929751
BIHAR,KISHANGANJ,928490
KERALA,ALATHUR,927228
"UTTAR PRADESH",ETAH,926281
BIHAR,VAISHALI,925937
BIHAR,NALANDA,921761
KERALA,THRISSUR,920505
GUJARAT,BHAVNAGAR,917402
"TAMIL NADU",THOOTHUKKUDI,916778
KERALA,WAYANAD,915006
BIHAR,MUNGER,914350
"MADHYA PRADESH",SATNA,913444
"MADHYA PRADESH",DAMOH,912080
KERALA,PALAKKAD,910322
"TAMIL NADU","CHENNAI NORTH",910114
"UTTAR PRADESH",KAUSHAMBI,910038
"ANDHRA PRADESH",ARUKU,909614
ODISHA,BERHAMPUR,905362
BIHAR,"HAJIPUR (SC)",904753
BIHAR,"GOPALGANJ (SC)",903583
JHARKHAND,DUMKA,903060
BIHAR,SITAMARHI,900588
GUJARAT,DAHOD,900381
BIHAR,"VALMIKI NAGAR",900114
BIHAR,BANKA,899353
"UTTAR PRADESH",LALGANJ,898655
ODISHA,ASKA,896281
MAHARASHTRA,RATNAGIRI,896256
BIHAR,KHAGARIA,896231
MAHARASHTRA,"MUMBAI NORTH WEST",895517
"UTTAR PRADESH",PRATAPGARH,894456
BIHAR,ARRAH,893213
"MADHYA PRADESH",SAGAR,891929
ODISHA,BHUBANESWAR,891822
"UTTAR PRADESH",ALLAHABAD,891582
ASSAM,DIBRUGARH,890968
KERALA,MAVELIKKARA,889060
BIHAR,BUXAR,888204
ASSAM,KARIMGANJ,886920
GUJARAT,BANASKANTHA,886634
"UTTAR PRADESH",ROBERTSGANJ,885873
BIHAR,NAWADA,884441
KERALA,CHALAKUDY,884033
BIHAR,SIWAN,884021
BIHAR,"PATNA SAHIB",882262
KERALA,KOLLAM,879056
"UTTAR PRADESH",BANSGAON,877877
MAHARASHTRA,BHIWANDI,875605
"UTTAR PRADESH",AMETHI,874625
"MADHYA PRADESH",KHAJURAHO,874477
"UTTAR PRADESH",GONDA,873732
KERALA,THIRUVANANTHAPURAM,873439
KERALA,PONNANI,871592
KERALA,PATHANAMTHITTA,869452
BIHAR,SARAN,863254
BIHAR,"SAMASTIPUR (SC)",863199
MAHARASHTRA,"MUMBAI NORTH EAST",861761
BIHAR,MADHUBANI,860453
KERALA,ATTINGAL,859350
BIHAR,UJIARPUR,858920
"UTTAR PRADESH",BANDA,858326
BIHAR,"PASCHIM CHAMPARAN",854800
"UTTAR PRADESH",SALEMPUR,854749
"MADHYA PRADESH",MORENA,854279
KERALA,MALAPPURAM,853467
GUJARAT,JAMNAGAR,852643
KERALA,ERNAKULAM,850834
BIHAR,"SASARAM (SC)",846788
BIHAR,MAHARAJGANJ,846654
RAJASTHAN,KARAULI-DHOLPUR,845941
MAHARASHTRA,"MUMBAI NORTH CENTRAL",845292
BIHAR,SHEOHAR,842894
ODISHA,KANDHAMAL,839415
"HIMACHAL PRADESH",HAMIRPUR,835205
"UTTAR PRADESH",KANPUR,835079
KERALA,KOTTAYAM,831636
"MADHYA PRADESH",REWA,830002
BIHAR,DARBHANGA,828342
"UTTAR PRADESH","RAE BARELI",825136
MAHARASHTRA,KALYAN,824196
BIHAR,"PURVI CHAMPARAN",822671
KERALA,IDUKKI,819766
"TAMIL NADU","CHENNAI CENTRAL",814894
BIHAR,JAHANABAD,811516
GUJARAT,PORBANDAR,809433
BIHAR,"GAYA (SC)",809378
GUJARAT,AMRELI,808816
ASSAM,SILCHAR,799830
"HIMACHAL PRADESH",KANGRA,799445
JHARKHAND,SINGHBHUM,795286
BIHAR,KARAKAT,789927
BIHAR,AURANGABAD,786274
MAHARASHTRA,"MUMBAI SOUTH",780715
UTTARAKHAND,"TEHRI GARHWAL",776214
BIHAR,"JAMUI (SC)",775639
MANIPUR,"OUTER MANIPUR",771766
CHHATTISGARH,BASTAR,769913
MAHARASHTRA,"MUMBAI SOUTH CENTRAL",769060
"MADHYA PRADESH",TIKAMGARH,766321
PUDUCHERRY,PUDUCHERRY,740017
"HIMACHAL PRADESH",SHIMLA,737757
JHARKHAND,KHUNTI,736955
"MADHYA PRADESH",BHIND,729084
"HIMACHAL PRADESH",MANDI,726094
JHARKHAND,CHATRA,712971
UTTARAKHAND,GARHWAL,682024
UTTARAKHAND,ALMORA,656525
JHARKHAND,LOHARDAGA,651460
MANIPUR,"INNER MANIPUR",640871
MEGHALAYA,SHILLONG,619987
ASSAM,"AUTONOMOUS DISTRICT",543280
"JAMMU & KASHMIR",BARAMULLA,465992
MEGHALAYA,TURA,458071
CHANDIGARH,CHANDIGARH,453455
MIZORAM,MIZORAM,433201
GOA,"SOUTH GOA",410369
GOA,"NORTH GOA",406631
"JAMMU & KASHMIR",ANANTNAG,375279
"ARUNACHAL PRADESH","ARUNACHAL WEST",335665
"JAMMU & KASHMIR",SRINAGAR,312212
SIKKIM,SIKKIM,308967
"ARUNACHAL PRADESH","ARUNACHAL EAST",261291
"ANDAMAN & NICOBAR ISLANDS","ANDAMAN & NICOBAR ISLANDS",190328
"DADRA & NAGAR HAVELI","DADAR & NAGAR HAVELI",165286
"JAMMU & KASHMIR",LADAKH,118029
"DAMAN & DIU","DAMAN & DIU",87233
LAKSHADWEEP,LAKSHADWEEP,43239
