CANDIDATE,PARTY,CONSTITUENCY,VOTES,TOTAL_VOTES,VOTE_SHARE
"DARSHANA VIKRAM JARDOSH","BHARATIYA JANATA PARTY",SURAT,718412,947922,0.7579
"NARENDRA MODI","BHARATIYA JANATA PARTY",VADODARA,845464,1161577,0.7279
"C. R. PATIL","BHARATIYA JANATA PARTY",NAVSARI,820831,1160747,0.7072
"GOPAL CHINAYYA SHETTY","BHARATIYA JANATA PARTY","MUMBAI NORTH",664004,946562,0.7015
"NEIPHIU RIO","NAGA PEOPLES FRONT",NAGALAND,713372,1038910,0.6867
L.K.ADVANI,"BHARATIYA JANATA PARTY",GANDHINAGAR,773539,1135495,0.6812
"RAMCHARAN BOHARA","BHARATIYA JANATA PARTY",JAIPUR,863358,1296806,0.6658
"SUSHMA SWARAJ","BHARATIYA JANATA PARTY",VIDISHA,714348,1073473,0.6655
"GAJENDRASINGH SHEKHAWAT","BHARATIYA JANATA PARTY",JODHPUR,713515,1078598,0.6615
"HARIOM SINGH RATHORE","BHARATIYA JANATA PARTY",RAJSAMAND,644794,982119,0.6565
"JITENDRA CHOUDHURY","COMMUNIST PARTY OF INDIA (MARXIST)","TRIPURA EAST",623771,951110,0.6558
"A.T. NANA PATIL","BHARATIYA JANATA PARTY",JALGAON,647773,990332,0.6541
"P P CHOUDHARY","BHARATIYA JANATA PARTY",PALI,711772,1095587,0.6497
"SUMITRA MAHAJAN (TAI)","BHARATIYA JANATA PARTY",INDORE,854972,1316817,0.6493
"UDAY PRATAP SINGH","BHARATIYA JANATA PARTY",HOSHANGABAD,669128,1031175,0.6489
"PARESH RAWAL","BHARATIYA JANATA PARTY","AHMEDABAD EAST",633582,985525,0.6429
"DR. KIRIT P SOLANKI","BHARATIYA JANATA PARTY","AHMEDABAD WEST",617104,964609,0.6397
"SONIA GANDHI","INDIAN NATIONAL CONGRESS","RAE BARELI",526434,825136,0.6380
"ALOK SANJAR","BHARATIYA JANATA PARTY",BHOPAL,714178,1130182,0.6319
"PROF. CHINTAMANI MALVIYA","BHARATIYA JANATA PARTY",UJJAIN,641101,1016405,0.6308
"ARJUN RAM MEGHWAL","BHARATIYA JANATA PARTY",BIKANER,584932,929751,0.6291
"RADADIYA VITHALBHAI HANSRAJBHAI","BHARATIYA JANATA PARTY",PORBANDAR,508437,809433,0.6281
"SANKAR PRASAD DATTA","COMMUNIST PARTY OF INDIA (MARXIST)","TRIPURA WEST",671665,1072749,0.6261
"RAJYAVARDHAN SINGH RATHORE","BHARATIYA JANATA PARTY","JAIPUR RURAL",632930,1013691,0.6244
"JYOTI DHURVE","BHARATIYA JANATA PARTY",BETUL,643651,1047719,0.6143
"KIRIT SOMAIYA","BHARATIYA JANATA PARTY","MUMBAI NORTH EAST",525285,861761,0.6095
"CHAND NATH","BHARATIYA JANATA PARTY",ALWAR,642278,1062305,0.6046
"LADU KISHORE SWAIN","BIJU JANATA DAL",ASKA,541473,896281,0.6041
"BAHADUR SINGH","BHARATIYA JANATA PARTY",BHARATPUR,579825,962432,0.6025
"SUDHIR GUPTA","BHARATIYA JANATA PARTY",MANDSOUR,698335,1161349,0.6013
"KHADASE RAKSHA NIKHIL","BHARATIYA JANATA PARTY",RAVER,605452,1009213,0.5999
"CHANDRA PRAKASH JOSHI","BHARATIYA JANATA PARTY",CHITTORGARH,703236,1172629,0.5997
"DR. BHARATIBEN DHIRUBHAI SHIYAL","BHARATIYA JANATA PARTY",BHAVNAGAR,549529,917402,0.5990
"BHOLA SINGH","BHARATIYA JANATA PARTY",BULANDSHAHR,604449,1009710,0.5986
"MULAYAM SINGH YADAV","SAMAJWADI PARTY",MAINPURI,595918,999265,0.5964
"(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM)","BHARATIYA JANATA PARTY",GARHWAL,405690,682024,0.5948
"CHAVDA VINOD LAKHAMASHI","BHARATIYA JANATA PARTY",KACHCHH,562855,946240,0.5948
"CHAUHAN DEVUSINH JESINGBHAI (CHAUHAN DEVUSINH)","BHARATIYA JANATA PARTY",KHEDA,568235,955906,0.5944
"ADHALRAO SHIVAJI DATTATREY",SHIVSENA,SHIRUR,643415,1089506,0.5906
"RODMAL NAGAR","BHARATIYA JANATA PARTY",RAJGARH,596727,1010724,0.5904
"(DR.) SANJEEV KUMAR BALYAN","BHARATIYA JANATA PARTY",MUZAFFARNAGAR,653391,1107434,0.5900
"DUSHYANT SINGH","BHARATIYA JANATA PARTY",JHALAWAR-BARAN,676102,1146364,0.5898
"KUNDARIYA MOHANBHAI KALYANJIBHAI","BHARATIYA JANATA PARTY",RAJKOT,621524,1057069,0.5880
"SHRIPAD YESSO NAIK","BHARATIYA JANATA PARTY","NORTH GOA",237903,406631,0.5851
"SANJAYKAKA PATIL","BHARATIYA JANATA PARTY",SANGLI,611563,1046659,0.5843
"DR. SUNIL BALIRAM GAIKWAD","BHARATIYA JANATA PARTY",LATUR,616509,1057156,0.5832
"MANOHAR UNTWAL","BHARATIYA JANATA PARTY",DEWAS,665646,1143968,0.5819
"BHAGAT SINGH KOSHYARI","BHARATIYA JANATA PARTY","NAINITAL-UDHAMSINGH NAGAR",636769,1101435,0.5781
"PATEL JAYSHREEBEN KANUBHAI","BHARATIYA JANATA PARTY",MAHESANA,580250,1004258,0.5778
"KRISHAN PAL","BHARATIYA JANATA PARTY",FARIDABAD,652516,1130726,0.5771
"MALA RAJYA LAXMI SHAH","BHARATIYA JANATA PARTY","TEHRI GARHWAL",446733,776214,0.5755
"ANIL SHIROLE","BHARATIYA JANATA PARTY",PUNE,569825,993274,0.5737
"CHAUDHARY HARIBHAI PARTHIBHAI","BHARATIYA JANATA PARTY",BANASKANTHA,507856,886634,0.5728
"LOKHANDE SADASHIV KISAN",SHIVSENA,SHIRDI,532936,932645,0.5714
"SUBHASH BAHERIA","BHARATIYA JANATA PARTY",BHILWARA,630317,1104090,0.5709
"SHANTA KUMAR","BHARATIYA JANATA PARTY",KANGRA,456163,799445,0.5706
"NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA)","BHARATIYA JANATA PARTY",KHANDWA,717357,1257327,0.5705
"GANDHI DILIPKUMAR MANSUKHLAL","BHARATIYA JANATA PARTY",AHMADNAGAR,605185,1062318,0.5697
"ANANTH KUMAR","BHARATIYA JANATA PARTY","BANGALORE SOUTH",633816,1113726,0.5691
"DR.MURLI MANOHAR JOSHI","BHARATIYA JANATA PARTY",KANPUR,474712,835079,0.5685
"POONAMBEN HEMATBHAI MAADAM","BHARATIYA JANATA PARTY",JAMNAGAR,484412,852643,0.5681
"JASVANTSINH SUMANBHAI BHABHOR","BHARATIYA JANATA PARTY",DAHOD,511111,900381,0.5677
"POONAM MAHAJAN ALIAS POONAM VAJENDLA RAO","BHARATIYA JANATA PARTY","MUMBAI NORTH CENTRAL",478535,845292,0.5661
"VIJAY KUMAR SINGH","BHARATIYA JANATA PARTY",GHAZIABAD,758482,1342320,0.5651
"VICHARE RAJAN BABURAO",SHIVSENA,THANE,595364,1054189,0.5648
"NARENDRA MODI","BHARATIYA JANATA PARTY",VARANASI,581022,1030685,0.5637
"SUBHASH PATEL","BHARATIYA JANATA PARTY",KHARGONE,649354,1152525,0.5634
"RAKESH SINGH","BHARATIYA JANATA PARTY",JABALPUR,564609,1002184,0.5634
"KADIYAM SRIHARI","TELANGANA RASHTRA SAMITHI",WARANGAL,661639,1174631,0.5633
"PRAHALAD SINGH PATEL","BHARATIYA JANATA PARTY",DAMOH,513079,912080,0.5625
"SHOBHA KARANDLAJE","BHARATIYA JANATA PARTY","UDUPI CHIKMAGALUR",581168,1034108,0.5620
"FATEPARA DEVAJIBHAI GOVINDBHAI","BHARATIYA JANATA PARTY",SURENDRANAGAR,529003,944677,0.5600
"Y.S. AVINASH REDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",KADAPA,671983,1200662,0.5597
"CHAVAN HARISHCHANDRA DEORAM","BHARATIYA JANATA PARTY",DINDORI,542784,970182,0.5595
"OM BIRLA","BHARATIYA JANATA PARTY",KOTA,644822,1154960,0.5583
"RAMESWAR TELI","BHARATIYA JANATA PARTY",DIBRUGARH,494364,890968,0.5549
"DR. BHAGIRATH PRASAD","BHARATIYA JANATA PARTY",BHIND,404474,729084,0.5548
"DANVE RAOSAHEB DADARAO","BHARATIYA JANATA PARTY",JALNA,591428,1066259,0.5547
"ARJUNLAL MEENA","BHARATIYA JANATA PARTY",UDAIPUR,660373,1193202,0.5534
"BALKA SUMAN","TELANGANA RASHTRA SAMITHI",PEDDAPALLE,565496,1022184,0.5532
"RAMSINH RATHWA","BHARATIYA JANATA PARTY","CHHOTA UDAIPUR",607916,1100542,0.5524
"RITA TARAI","BIJU JANATA DAL",JAJPUR,541349,980435,0.5522
"KALVAKUNTLA CHANDRASEKHAR RAO","TELANGANA RASHTRA SAMITHI",MEDAK,657492,1191096,0.5520
"DR. VIRENDRA KUMAR","BHARATIYA JANATA PARTY",TIKAMGARH,422979,766321,0.5520
"KULAMANI SAMAL","BIJU JANATA DAL",JAGATSINGHPUR,624492,1131932,0.5517
"SANWAR LAL JAT","BHARATIYA JANATA PARTY",AJMER,637874,1156314,0.5516
"SARBANANDA SONOWAL","BHARATIYA JANATA PARTY",LAKHIMPUR,612543,1111975,0.5509
"SHATRUGHANA SINHA","BHARATIYA JANATA PARTY","PATNA SAHIB",485905,882262,0.5507
"DR. K.C.PATEL","BHARATIYA JANATA PARTY",VALSAD,617772,1122203,0.5505
"VINAYAK BHAURAO RAUT",SHIVSENA,RATNAGIRI,493088,896256,0.5502
"APARUPA PODDAR (AFRIN ALI)","ALL INDIA TRINAMOOL CONGRESS",ARAMBAGH,748764,1361934,0.5498
"ANANTKUMAR HEGDE","BHARATIYA JANATA PARTY","UTTARA KANNADA",546939,1001038,0.5464
"MURALI MOHAN MAGANTI","TELUGU DESAM",RAJAHMUNDRY,630573,1154381,0.5462
"ABHISHEK SINGH","BHARATIYA JANATA PARTY",RAJNANDGAON,643473,1178296,0.5461
"DR. RAM SHANKAR KATHERIA","BHARATIYA JANATA PARTY",AGRA,583716,1070400,0.5453
"CHUDASAMA RAJESHBHAI NARANBHAI","BHARATIYA JANATA PARTY",JUNAGADH,513179,941378,0.5451
"CHAUHAN PRABHATSINH PRATAPSINH","BHARATIYA JANATA PARTY",PANCHMAHAL,508274,933461,0.5445
"SHARAD BANSODE","BHARATIYA JANATA PARTY",SOLAPUR,517879,951201,0.5444
"GAIKWAD RAVINDRA VISHWANATH",SHIVSENA,OSMANABAD,607699,1118151,0.5435
"NAGENDRA SINGH","BHARATIYA JANATA PARTY",KHAJURAHO,474966,874477,0.5431
"RAJ NATH SINGH","BHARATIYA JANATA PARTY",LUCKNOW,561106,1033783,0.5428
"DALPAT SINGH PARASTE","BHARATIYA JANATA PARTY",SHAHDOL,525419,968518,0.5425
"LILADHARBHAI KHODAJI VAGHELA","BHARATIYA JANATA PARTY",PATAN,518538,955799,0.5425
"GADKARI NITIN JAIRAM","BHARATIYA JANATA PARTY",NAGPUR,587767,1085058,0.5417
"LAXMI NARAYAN YADAV","BHARATIYA JANATA PARTY",SAGAR,482580,891929,0.5411
"KACHHADIYA NARANBHAI BHIKHABHAI","BHARATIYA JANATA PARTY",AMRELI,436715,808816,0.5399
"RAJU SHETTY","SWABHIMANI PAKSHA",HATKANANGLE,640428,1188871,0.5387
"DR. BHAMRE SUBHASH RAMRAO","BHARATIYA JANATA PARTY",DHULE,529450,983083,0.5386
"PATEL LALUBHAI BABUBHAI","BHARATIYA JANATA PARTY","DAMAN & DIU",46960,87233,0.5383
"BHARTRUHARI MAHATAB","BIJU JANATA DAL",CUTTACK,526085,978604,0.5376
"ADV. CHINTAMAN NAVASHA WANGA","BHARATIYA JANATA PARTY",PALGHAR,533201,992618,0.5372
"B. S. YEDDYURAPPA","BHARATIYA JANATA PARTY",SHIMOGA,606216,1129008,0.5369
"UMA SAREN","ALL INDIA TRINAMOOL CONGRESS",JHARGRAM,674504,1257613,0.5363
"ADHIKARI SUVENDU","ALL INDIA TRINAMOOL CONGRESS",TAMLUK,716928,1337684,0.5359
"SHRIMANT CHH. UDAYANRAJE PRATAPSINHA BHONSALE","NATIONALIST CONGRESS PARTY",SATARA,522531,976681,0.5350
"DR.SHRIKANT EKNATH SHINDE",SHIVSENA,KALYAN,440892,824196,0.5349
"MEHBOOBA MUFTI","JAMMU & KASHMIR PEOPLES DEMOCRATIC PARTY",ANANTNAG,200429,375279,0.5341
"DEVJI PATEL","BHARATIYA JANATA PARTY",JALORE,580508,1087272,0.5339
"HEMA MALINI","BHARATIYA JANATA PARTY",MATHURA,574633,1076868,0.5336
"NALIN KUMAR KATEEL","BHARATIYA JANATA PARTY","DAKSHINA KANNADA",642739,1207474,0.5323
"SUNDARAM P.R","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",NAMAKKAL,563272,1058755,0.5320
"VISHNU DEO SAI","BHARATIYA JANATA PARTY",RAIGARH,662478,1246186,0.5316
"MOHAMMAD ASRARUL HAQUE","INDIAN NATIONAL CONGRESS",KISHANGANJ,493461,928490,0.5315
"PARTHIPAN R.","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",THENI,571254,1075583,0.5311
"DR PANDULA RAVINDRA BABU","TELUGU DESAM",AMALAPURAM,594547,1120927,0.5304
"RAMDAS CHANDRABHANJI TADAS","BHARATIYA JANATA PARTY",WARDHA,537518,1013445,0.5304
"AJAY TAMTA","BHARATIYA JANATA PARTY",ALMORA,348186,656525,0.5303
"JANAK RAM","BHARATIYA JANATA PARTY","GOPALGANJ (SC)",478773,903583,0.5299
"PREM DAS RAI","SIKKIM DEMOCRATIC FRONT",SIKKIM,163698,308967,0.5298
"GADDIGOUDAR PARVTAGOUDA CHANDANAGOUDA","BHARATIYA JANATA PARTY",BAGALKOT,571548,1079310,0.5295
"D.V SADANANDA GOWDA","BHARATIYA JANATA PARTY","BANGALORE NORTH",718326,1356718,0.5295
"JYOTIRADITYA M SCINDIA","INDIAN NATIONAL CONGRESS",GUNA,517036,976629,0.5294
"ASADUDDIN OWAISI","ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN",HYDERABAD,513868,971421,0.5290
"RAMMOHAN NAIDU KINJARAPU","TELUGU DESAM",SRIKAKULAM,556163,1051446,0.5290
"GODSE HEMANT TUKARAM",SHIVSENA,NASHIK,494735,937405,0.5278
"BAIJAYANT PANDA","BIJU JANATA DAL",KENDRAPARA,601574,1140999,0.5272
"RAHUL KASWAN","BHARATIYA JANATA PARTY",CHURU,595756,1131104,0.5267
"SUKHBIR SINGH JAUNAPURIA","BHARATIYA JANATA PARTY","TONK-SAWAI MADHOPUR",548179,1043040,0.5256
"KESHAV PRASAD MAURYA","BHARATIYA JANATA PARTY",PHULPUR,503564,960341,0.5244
"ADHIKARI SISIR KUMAR","ALL INDIA TRINAMOOL CONGRESS",KANTHI,676749,1290811,0.5243
"PRALHAD JOSHI","BHARATIYA JANATA PARTY",DHARWAD,545395,1041226,0.5238
NIHALCHAND,"BHARATIYA JANATA PARTY",GANGANAGAR,658130,1256806,0.5237
"RAMESH BAIS","BHARATIYA JANATA PARTY",RAIPUR,654922,1250845,0.5236
"VIRENDER KASHYAP","BHARATIYA JANATA PARTY",SHIMLA,385973,737757,0.5232
"PURNO AGITOK SANGMA","NATIONAL PEOPLES PARTY",TURA,239301,458071,0.5224
"ASHOK MAHADEORAO NETE","BHARATIYA JANATA PARTY",GADCHIROLI-CHIMUR,535982,1027129,0.5218
"MANEKA SANJAY GANDHI","BHARATIYA JANATA PARTY",PILIBHIT,546934,1050547,0.5206
"JADHAV PRATAPRAO GANPATRAO",SHIVSENA,BULDHANA,509145,978626,0.5203
"P.V.MIDHUN REDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",RAJAMPET,601752,1158317,0.5195
"GAJANAN CHANDRAKANT KIRTIKAR",SHIVSENA,"MUMBAI NORTH WEST",464820,895517,0.5191
"DR.GAVIT HEENA VAIJAYKUMAR","BHARATIYA JANATA PARTY",NANDURBAR,579486,1116676,0.5189
"MAGANTI VENKATESWARA RAO (BABU)","TELUGU DESAM",ELURU,623471,1201696,0.5188
"RAJESH KUMAR DIWAKER","BHARATIYA JANATA PARTY",HATHRAS,544277,1049273,0.5187
"SAVITRI THAKUR","BHARATIYA JANATA PARTY",DHAR,558387,1076816,0.5186
"P.C. MOHAN","BHARATIYA JANATA PARTY","BANGALORE CENTRAL",557130,1074589,0.5185
"NABA KUMAR SARANIA (HIRA)",INDEPENDENT,KOKRAJHAR,634428,1223869,0.5184
ADITYANATH,"BHARATIYA JANATA PARTY",GORAKHPUR,539127,1040199,0.5183
"VASAVA MANSUKHBHAI DHANJIBHAI","BHARATIYA JANATA PARTY",BHARUCH,548902,1060211,0.5177
"THAMBIDURAI M.","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",KARUR,540722,1046534,0.5167
"S.P.Y REDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",NANDYAL,622411,1204956,0.5165
"VASAVA PARBHUBHAI NAGARBHAI","BHARATIYA JANATA PARTY",BARDOLI,622769,1206179,0.5163
"MUNDE GOPINATHRAO PANDURANG","BHARATIYA JANATA PARTY",BEED,635995,1232202,0.5161
"LAKHAN LAL SAHU","BHARATIYA JANATA PARTY",BILASPUR,561387,1090457,0.5148
"KONAKALLA NARAYANA RAO","TELUGU DESAM",MACHILIPATNAM,587280,1141065,0.5147
"ANGADI SURESH CHANNABASAPPA","BHARATIYA JANATA PARTY",BELGAUM,554417,1078547,0.5140
"KRISTAPPA NIMMALA","TELUGU DESAM",HINDUPUR,604291,1177257,0.5133
"E. AHAMED","INDIAN UNION MUSLIM LEAGUE",MALAPPURAM,437723,853467,0.5129
"RAJVEER SINGH (RAJU BHAIYA)","BHARATIYA JANATA PARTY",ETAH,474978,926281,0.5128
"KALRAJ MISHRA","BHARATIYA JANATA PARTY",DEORIA,496500,971557,0.5110
"B. SREERAMULU","BHARATIYA JANATA PARTY",BELLARY,534406,1045772,0.5110
"JOSE K. MANI","KERALA CONGRESS (M)",KOTTAYAM,424194,831636,0.5101
"SANTOSH KUMAR GANGWAR","BHARATIYA JANATA PARTY",BAREILLY,518258,1017891,0.5091
"MALLIKARJUN KHARGE","INDIAN NATIONAL CONGRESS",GULBARGA,507193,997638,0.5084
"UDASI SHIVAKUMAR CHANNABASAPPA","BHARATIYA JANATA PARTY",HAVERI,566790,1115968,0.5079
"NANABHAU FALGUNRAO PATOLE","BHARATIYA JANATA PARTY",BHANDARA,606129,1197196,0.5063
"BIJOYA CHAKRAVARTY","BHARATIYA JANATA PARTY",GAUHATI,764985,1511729,0.5060
"TARIQ HAMEED KARRA","JAMMU & KASHMIR PEOPLES DEMOCRATIC PARTY",SRINAGAR,157923,312212,0.5058
"HUKUM SINGH","BHARATIYA JANATA PARTY",KAIRANA,565909,1119324,0.5056
"DILIP PATEL","BHARATIYA JANATA PARTY",ANAND,490829,970894,0.5055
"ADHIR RANJAN CHOWDHURY","INDIAN NATIONAL CONGRESS",BAHARAMPUR,583549,1154587,0.5054
"KAMAL NATH","INDIAN NATIONAL CONGRESS",CHHINDWARA,559755,1107498,0.5054
"RATHOD DIPSINH SHANKARSINH","BHARATIYA JANATA PARTY",SABARKANTHA,552205,1094002,0.5048
"KIREN RIJIJU","BHARATIYA JANATA PARTY","ARUNACHAL WEST",169367,335665,0.5046
"DILEEPSINGH BHURIA","BHARATIYA JANATA PARTY",RATLAM,545970,1082681,0.5043
PARASURAMAN.K,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",THANJAVUR,510307,1012258,0.5041
"RAMESH POKHRIYAL NISHANK","BHARATIYA JANATA PARTY",HARDWAR,592320,1175692,0.5038
"RAMVILAS PASWAN","LOK JAN SHAKTI PARTY","HAJIPUR (SC)",455652,904753,0.5036
"PINAKI MISRA","BIJU JANATA DAL",PURI,523161,1039389,0.5033
"J.C. DIVAKAR REDDI","TELUGU DESAM",ANANTAPUR,606509,1205054,0.5033
"RATTAN LAL KATARIA","BHARATIYA JANATA PARTY",AMBALA,612121,1218995,0.5022
"HEMENDRA CHANDRA SINGH","BIJU JANATA DAL",KANDHAMAL,421458,839415,0.5021
"ADHIKARI DEEPAK (DEV)","ALL INDIA TRINAMOOL CONGRESS",GHATAL,685696,1366709,0.5017
"R. DHRUVANARAYANA","INDIAN NATIONAL CONGRESS",CHAMARAJANAGAR,567782,1133029,0.5011
"DINESH KASHYAP","BHARATIYA JANATA PARTY",BASTAR,385829,769913,0.5011
"MOHAMMED FAIZAL P.P.","NATIONALIST CONGRESS PARTY",LAKSHADWEEP,21665,43239,0.5011
VENUGOPAL.P.(DR),"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",THIRUVALLUR,628499,1254440,0.5010
"BHARATHI MOHAN R.K","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",MAYILADUTHURAI,513729,1025538,0.5009
"DR.MAHESH SHARMA","BHARATIYA JANATA PARTY","GAUTAM BUDDHA NAGAR",599702,1199238,0.5001
"RAM SWAROOP SHARMA","BHARATIYA JANATA PARTY",MANDI,362824,726094,0.4997
"ASHWINI KUMAR","BHARATIYA JANATA PARTY",KARNAL,594817,1193500,0.4984
