CANDIDATE,PARTY,CONSTITUENCY,VOTES,TOTAL_VOTES,VOTE_SHARE
"DR. BOORA NARSAIAH GOUD","TELANGANA RASHTRA SAMITHI",BHONGIR,448245,1211943,0.3699
"AJAY KUMAR","BHARATIYA JANATA PARTY",KHERI,398578,1077868,0.3698
"PATEL JIVABHAI AMBALAL","INDIAN NATIONAL CONGRESS",MAHESANA,371359,1004258,0.3698
"SUBRATA BAKSHI","ALL INDIA TRINAMOOL CONGRESS","KOLKATA DAKSHIN",431715,1167979,0.3696
"NITYANAND RAI","BHARATIYA JANATA PARTY",UJIARPUR,317352,858920,0.3695
"RAM DEV RAM","INDIAN NATIONAL CONGRESS",SARGUJA,438100,1187321,0.3690
"D. PURANDESWARI","BHARATIYA JANATA PARTY",RAJAMPET,426990,1158317,0.3686
"RAJ KUMAR SAINI","BHARATIYA JANATA PARTY",KURUKSHETRA,418112,1135892,0.3681
"CHIRAG KUMAR PASWAN","LOK JAN SHAKTI PARTY","JAMUI (SC)",285354,775639,0.3679
"SYED SHAHNAWAZ HUSSAIN","BHARATIYA JANATA PARTY",BHAGALPUR,358138,974016,0.3677
"BABUL SUPRIYA BARAL (BABUL SUPRIYO)","BHARATIYA JANATA PARTY",ASANSOL,419983,1142395,0.3676
"BHUPEN KUMAR BORAH","INDIAN NATIONAL CONGRESS",TEZPUR,360491,980688,0.3676
"NAGARAJAN P.","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",COIMBATORE,431717,1176620,0.3669
"BALABHADRA MAJHI","BIJU JANATA DAL",NABARANGPUR,373887,1022172,0.3658
"SANTOKH SINGH CHAUDHARY","INDIAN NATIONAL CONGRESS",JALANDHAR,380479,1040762,0.3656
"KARIA MUNDA","BHARATIYA JANATA PARTY",KHUNTI,269185,736955,0.3653
"HARINARAYAN RAJBHAR","BHARATIYA JANATA PARTY",GHOSI,379797,1039656,0.3653
"KISHANBHAI VESTABHAI PATEL","INDIAN NATIONAL CONGRESS",VALSAD,409768,1122203,0.3651
"ADV.MATHEW T. THOMAS","JANATA DAL (SECULAR)",KOTTAYAM,303595,831636,0.3651
"KRISHNA PRATAP 'K.P.'","BHARATIYA JANATA PARTY",JAUNPUR,367149,1007143,0.3645
"VINOD KUMAR SONKAR","BHARATIYA JANATA PARTY",KAUSHAMBI,331593,910038,0.3644
"SOSO LORHO","NAGA PEOPLES FRONT","OUTER MANIPUR",281133,771766,0.3643
"NAGENDRA KUMAR PRADHAN","BIJU JANATA DAL",SAMBALPUR,358618,984309,0.3643
"AMLABE NARAYAN SINGH","INDIAN NATIONAL CONGRESS",RAJGARH,367990,1010724,0.3641
"ARUN SUBHASH CHANDRA YADAV","INDIAN NATIONAL CONGRESS",KHANDWA,457643,1257327,0.3640
"NANDAN NILEKANI","INDIAN NATIONAL CONGRESS","BANGALORE SOUTH",405241,1113726,0.3639
"RABRI DEVI","RASHTRIYA JANATA DAL",SARAN,314172,863254,0.3639
"PRADEEP KUMAR MAJHI","INDIAN NATIONAL CONGRESS",NABARANGPUR,371845,1022172,0.3638
"DR. MANDA JAGANNATH","TELANGANA RASHTRA SAMITHI",NAGARKURNOOL,403399,1108968,0.3638
"NISHIKANT DUBEY","BHARATIYA JANATA PARTY",GODDA,380500,1049442,0.3626
"AHIR VIKRAMBHAI ARJANBHAI MADAM","INDIAN NATIONAL CONGRESS",JAMNAGAR,309123,852643,0.3625
"JAGARNATH MAHTO","JHARKHAND MUKTI MORCHA",GIRIDIH,351600,969997,0.3625
BAALU.T.R,"DRAVIDA MUNNETRA KAZHAGAM",THANJAVUR,366188,1012258,0.3618
"RAMSINH PARMAR","INDIAN NATIONAL CONGRESS",PANCHMAHAL,337678,933461,0.3617
"SATABDI ROY","ALL INDIA TRINAMOOL CONGRESS",BIRBHUM,460568,1275819,0.3610
"SUJAN CHAKRABORTY","COMMUNIST PARTY OF INDIA (MARXIST)",JADAVPUR,459041,1272362,0.3608
"AUTADE VILAS KESHAVRAO","INDIAN NATIONAL CONGRESS",JALNA,384630,1066259,0.3607
"NEELAM SONKAR","BHARATIYA JANATA PARTY",LALGANJ,324016,898655,0.3606
"VIJAY SAMPLA","BHARATIYA JANATA PARTY",HOSHIARPUR,346643,961297,0.3606
"SHABBIR AHMAD","SAMAJWADI PARTY",BAHRAICH,336747,934263,0.3604
"C.NARAYANA SWAMY","INDIAN NATIONAL CONGRESS","BANGALORE NORTH",488562,1356718,0.3601
"MIRZA MEHBOOB BEG","JAMMU & KASHMIR NATIONAL CONFERENCE",ANANTNAG,135012,375279,0.3598
"SUDIP BANDYOPADHYAY","ALL INDIA TRINAMOOL CONGRESS","KOLKATA UTTAR",343687,955778,0.3596
"ASHWINI KUMAR CHOUBEY","BHARATIYA JANATA PARTY",BUXAR,319012,888204,0.3592
"CHANDER KUMAR","INDIAN NATIONAL CONGRESS",KANGRA,286091,799445,0.3579
"ARTI SINGH","INDIAN NATIONAL CONGRESS",RAIGARH,445728,1246186,0.3577
"MEIRA KUMAR","INDIAN NATIONAL CONGRESS","SASARAM (SC)",302760,846788,0.3575
"INGLE KRUSHANARAO GANPATRAO","NATIONALIST CONGRESS PARTY",BULDHANA,349566,978626,0.3572
"BHAUSAHEB RAJARAM WAKCHAURE","INDIAN NATIONAL CONGRESS",SHIRDI,333014,932645,0.3571
"KAISER JAHAN","BAHUJAN SAMAJ PARTY",SITAPUR,366519,1026972,0.3569
"MANJU. A.","INDIAN NATIONAL CONGRESS",HASSAN,409379,1147172,0.3569
"PONGULETI SRINIVASA REDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",KHAMMAM,421957,1182897,0.3567
"RAVINDRA KR. RAY","BHARATIYA JANATA PARTY",KODARMA,365410,1024906,0.3565
"RAJESH RANJAN @ PAPPU YADAV","RASHTRIYA JANATA DAL",MADHEPURA,368937,1034799,0.3565
"BIRENDRA KUMAR CHAUDHARY","BHARATIYA JANATA PARTY",JHANJHARPUR,335481,941249,0.3564
"HARINDER SINGH KHALSA","AAM AADMI PARTY","FATEHGARH SAHIB",367293,1030954,0.3563
"PATIL PRATIK PRAKASHBAPU","INDIAN NATIONAL CONGRESS",SANGLI,372271,1046659,0.3557
"HEMLAL MURMU","BHARATIYA JANATA PARTY",RAJMAHAL,338170,951563,0.3554
"VIVEK KRISHNA TANKHA","INDIAN NATIONAL CONGRESS",JABALPUR,355970,1002184,0.3552
MOHAN.P.S,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",DHARMAPURI,391048,1101345,0.3551
"RAGHUVIR SINGH","INDIAN NATIONAL CONGRESS",UDAIPUR,423611,1193202,0.3550
"KUNVARJIBHAI MOHANBHAI BAVALIYA","INDIAN NATIONAL CONGRESS",RAJKOT,375096,1057069,0.3548
"COL DEVINDER SEHRAWAT","AAM AADMI PARTY","SOUTH DELHI",390980,1102410,0.3547
"MULAYAM SINGH YADAV","SAMAJWADI PARTY",AZAMGARH,340306,960218,0.3544
"SAJJAN SINGH VERMA","INDIAN NATIONAL CONGRESS",DEWAS,405333,1143968,0.3543
"GUMMIDI SANDHYARANI","TELUGU DESAM",ARUKU,321793,909614,0.3538
"DADDAN MISHRA","BHARATIYA JANATA PARTY",SHRAWASTI,345964,979638,0.3532
"GANDHIRAJAN S","DRAVIDA MUNNETRA KAZHAGAM",DINDIGUL,382617,1083364,0.3532
"KARUNA SHUKLA","INDIAN NATIONAL CONGRESS",BILASPUR,384951,1090457,0.3530
"DAYANIDHI MARAN","DRAVIDA MUNNETRA KAZHAGAM","CHENNAI CENTRAL",287455,814894,0.3528
"DR S T HASAN","SAMAJWADI PARTY",MORADABAD,397720,1127965,0.3526
"RENUKA RAWAT","INDIAN NATIONAL CONGRESS",HARDWAR,414498,1175692,0.3526
"HARMINDER SINGH GILL","INDIAN NATIONAL CONGRESS","KHADOOR SAHIB",366763,1040518,0.3525
"RAMESH CHANDER","BHARATIYA JANATA PARTY",SONIPAT,347203,985637,0.3523
"SHYAMA CHARAN GUPTA","BHARATIYA JANATA PARTY",ALLAHABAD,313772,891582,0.3519
"SEKH IBRAHIM ALI","COMMUNIST PARTY OF INDIA (MARXIST)",TAMLUK,470447,1337684,0.3517
"TAPAS PAUL","ALL INDIA TRINAMOOL CONGRESS",KRISHNANAGAR,438789,1247914,0.3516
"DINSHA PATEL","INDIAN NATIONAL CONGRESS",KHEDA,335334,955906,0.3508
"NASEER AHMAD KHAN","SAMAJWADI PARTY",RAMPUR,335181,956389,0.3505
"MISHA BHARTI","RASHTRIYA JANATA DAL",PATALIPUTRA,342940,978649,0.3504
"CHOUDHARY MAHBOOB ALI KAISER","LOK JAN SHAKTI PARTY",KHAGARIA,313806,896231,0.3501
"KAUSHLENDRA KUMAR","JANATA DAL (UNITED)",NALANDA,321982,921761,0.3493
"ISWAR CHANDRA DAS","COMMUNIST PARTY OF INDIA (MARXIST)","BARDHAMAN PURBA",460181,1320922,0.3484
"VIJAYAN. A.K.S","DRAVIDA MUNNETRA KAZHAGAM",NAGAPATTINAM,328095,942202,0.3482
"ABU HASEM KHAN CHOWDHURY","INDIAN NATIONAL CONGRESS","MALDAHA DAKSHIN",380291,1092407,0.3481
"ADV. PEELIPOSE THOMAS",INDEPENDENT,PATHANAMTHITTA,302651,869452,0.3481
"JOY RAM ENGLENG","BHARATIYA JANATA PARTY","AUTONOMOUS DISTRICT",189057,543280,0.3480
"SUDARSHAN BHAGAT","BHARATIYA JANATA PARTY",LOHARDAGA,226666,651460,0.3479
"ASHOK CHANDNA","INDIAN NATIONAL CONGRESS",BHILWARA,384053,1104090,0.3478
"DR.SURESH JATAV","INDIAN NATIONAL CONGRESS",BHARATPUR,334357,962432,0.3474
"AJAY KUMAR","JHARKHAND VIKAS MORCHA (PRAJATANTRIK)",JAMSHEDPUR,364277,1049140,0.3472
"THUMMAR VIRJIBHAI KESHAVBHAI (VIRJIBHAI THUMMAR)","INDIAN NATIONAL CONGRESS",AMRELI,280483,808816,0.3468
"PABAN SINGH GHATOWAR","INDIAN NATIONAL CONGRESS",DIBRUGARH,309017,890968,0.3468
"NAMA NAGESWARA RAO","TELUGU DESAM",KHAMMAM,409983,1182897,0.3466
"DR. ABUL HASNAT","COMMUNIST PARTY OF INDIA (MARXIST)","DIAMOND HARBOUR",437183,1261296,0.3466
"MOHINDER SINGH KAYPEE","INDIAN NATIONAL CONGRESS",HOSHIARPUR,333061,961297,0.3465
"SINHA TAPAS","COMMUNIST PARTY OF INDIA (MARXIST)",KANTHI,447259,1290811,0.3465
"KAMLESHWAR VERMA","INDIAN NATIONAL CONGRESS",RAJNANDGAON,407562,1178296,0.3459
"R. RADHAKRISHNAN","ALL INDIA N.R. CONGRESS",PUDUCHERRY,255826,740017,0.3457
"HINA LIKHIRAM KAWRE","INDIAN NATIONAL CONGRESS",BALAGHAT,384553,1113364,0.3454
"SURENDRA PRASAD YADAV","RASHTRIYA JANATA DAL",JAHANABAD,280307,811516,0.3454
"DUTT PRIYA SUNIL","INDIAN NATIONAL CONGRESS","MUMBAI NORTH CENTRAL",291764,845292,0.3452
"KOLI PATEL SOMABHAI GANDALAL","INDIAN NATIONAL CONGRESS",SURENDRANAGAR,326096,944677,0.3452
"SHARAD TRIPATHI","BHARATIYA JANATA PARTY","SANT KABIR NAGAR",348892,1011649,0.3449
"KOMATIREDDY RAJGOPAL REDDY","INDIAN NATIONAL CONGRESS",BHONGIR,417751,1211943,0.3447
"PATEL JOITABHAI KASNABHAI","INDIAN NATIONAL CONGRESS",BANASKANTHA,305522,886634,0.3446
"PATIL VISHWANATH RAMCHANDRA","INDIAN NATIONAL CONGRESS",BHIWANDI,301620,875605,0.3445
"JAGATHRAKSHAKAN S. THIRU","DRAVIDA MUNNETRA KAZHAGAM",SRIPERUMBUDUR,443174,1286647,0.3444
"PRAMOD BHAYA","INDIAN NATIONAL CONGRESS",JHALAWAR-BARAN,394556,1146364,0.3442
"DHARANIDHAR NAYAK","INDIAN NATIONAL CONGRESS",KENDRAPARA,392466,1140999,0.3440
"SMRITI ZUBIN IRANI","BHARATIYA JANATA PARTY",AMETHI,300748,874625,0.3439
"BANSODE DATTATRAY GUNDERAO","INDIAN NATIONAL CONGRESS",LATUR,363114,1057156,0.3435
"MD. TANVEER HASSAN","RASHTRIYA JANATA DAL",BEGUSARAI,369892,1077855,0.3432
"ANAND KUMAR","AAM AADMI PARTY","NORTH EAST DELHI",452041,1317338,0.3431
"RANJEET RANJAN","INDIAN NATIONAL CONGRESS",SUPAUL,332927,970528,0.3430
"IMRAN MASOOD","INDIAN NATIONAL CONGRESS",SAHARANPUR,407909,1194308,0.3415
"PRABHAS KUMAR SINGH","BIJU JANATA DAL",BARGARH,383230,1123301,0.3412
"HARISH CHANDRA ALIAS HARISH DWIVEDI","BHARATIYA JANATA PARTY",BASTI,357680,1048534,0.3411
"DR. SHASHI THAROOR","INDIAN NATIONAL CONGRESS",THIRUVANANTHAPURAM,297806,873439,0.3410
"SATYAPAL SINGH","BHARATIYA JANATA PARTY",SAMBHAL,360242,1057002,0.3408
REKHA,"BHARATIYA JANATA PARTY",DHAURAHRA,360357,1060271,0.3399
"MEENAKSHI NATARAJAN","INDIAN NATIONAL CONGRESS",MANDSOUR,394686,1161349,0.3399
"RAMESH PATEL","INDIAN NATIONAL CONGRESS",KHARGONE,391475,1152525,0.3397
"DEEPAK KARMA (BUNTY)","INDIAN NATIONAL CONGRESS",BASTAR,261470,769913,0.3396
"SATYA NAND SHARMA","LOK JAN SHAKTI PARTY",NALANDA,312355,921761,0.3389
"HARISH CHANDRA MEENA","BHARATIYA JANATA PARTY",DAUSA,315059,930492,0.3386
"DR JYOTI MIRDHA","INDIAN NATIONAL CONGRESS",NAGAUR,339573,1004019,0.3382
"HUMERA AKHTAR","SAMAJWADI PARTY",AMROHA,370666,1095860,0.3382
"RAMESHWAR ORAON","INDIAN NATIONAL CONGRESS",LOHARDAGA,220177,651460,0.3380
"ABHIJIT MUKHERJEE","INDIAN NATIONAL CONGRESS",JANGIPUR,378201,1119084,0.3380
"M P VEERENDRAKUMAR","SOCIALIST JANATA (DEMOCRATIC)",PALAKKAD,307597,910322,0.3379
"MD. ALI ASHRAF FATMI","RASHTRIYA JANATA DAL",DARBHANGA,279906,828342,0.3379
"VINCENT H. PALA","INDIAN NATIONAL CONGRESS",SHILLONG,209340,619987,0.3377
"SUSMITA BAURI","COMMUNIST PARTY OF INDIA (MARXIST)",BISHNUPUR,429185,1272070,0.3374
"BHANWAR JITENDRA SINGH","INDIAN NATIONAL CONGRESS",ALWAR,358383,1062305,0.3374
"GIRIRAJAN .R","DRAVIDA MUNNETRA KAZHAGAM","CHENNAI NORTH",307000,910114,0.3373
"JUAL @ JUEL ORAM","BHARATIYA JANATA PARTY",SUNDARGARH,340508,1010711,0.3369
"M VEERAPPA MOILY","INDIAN NATIONAL CONGRESS",CHIKKBALLAPUR,424800,1263274,0.3363
"DR SHAFIQ- UR RAHMAN BARQ","SAMAJWADI PARTY",SAMBHAL,355068,1057002,0.3359
"SK. SAIDUL HAQUE","COMMUNIST PARTY OF INDIA (MARXIST)",BURDWAN,447190,1331242,0.3359
"IMARTI DEVI","INDIAN NATIONAL CONGRESS",BHIND,244513,729084,0.3354
"MAUSAM NOOR","INDIAN NATIONAL CONGRESS","MALDAHA UTTAR",388609,1162985,0.3341
"JANARDHANA SWAMY","BHARATIYA JANATA PARTY",CHITRADURGA,366220,1096499,0.3340
"PATIL PADMASINHA BAJIRAO","NATIONALIST CONGRESS PARTY",OSMANABAD,373374,1118151,0.3339
"SURESH PUJARI","BHARATIYA JANATA PARTY",SAMBALPUR,328042,984309,0.3333
"SHANMUGAM A.C.","BHARATIYA JANATA PARTY",VELLORE,324326,974770,0.3327
"SURESH KUMAR SHETKAR","INDIAN NATIONAL CONGRESS",ZAHIRABAD,364030,1094806,0.3325
"PARTAP SINGH BAJWA","INDIAN NATIONAL CONGRESS",GURDASPUR,346190,1042699,0.3320
"ARKA KESHARI DEO","BIJU JANATA DAL",KALAHANDI,370871,1117536,0.3319
"BADARUDDOZA KHAN","COMMUNIST PARTY OF INDIA (MARXIST)",MURSHIDABAD,426947,1287763,0.3315
"RADHAKRISHNAN C.P.","BHARATIYA JANATA PARTY",COIMBATORE,389701,1176620,0.3312
"SUBASH CHOUHAN","BHARATIYA JANATA PARTY",BARGARH,372052,1123301,0.3312
"MUZAFFAR HOSSAIN","COMMUNIST PARTY OF INDIA (MARXIST)",JANGIPUR,370040,1119084,0.3307
"KONDA VISHWESHWAR REDDY","TELANGANA RASHTRA SAMITHI",CHELVELLA,435077,1315862,0.3306
"CHINNASAMY M.","DRAVIDA MUNNETRA KAZHAGAM",KARUR,345475,1046534,0.3301
"RAMA KISHORE SINGH","LOK JAN SHAKTI PARTY",VAISHALI,305450,925937,0.3299
"DIPAK KUMAR ROY","ALL INDIA FORWARD BLOC","COOCH BEHAR",439392,1332409,0.3298
"GIRIJA VYAS","INDIAN NATIONAL CONGRESS",CHITTORGARH,386379,1172629,0.3295
"AP JITHENDER REDDY","TELANGANA RASHTRA SAMITHI",MAHBUBNAGAR,334228,1014800,0.3294
"JASWANT SINGH",INDEPENDENT,BARMER,401286,1219119,0.3292
"KOLAR KESAVA","JANATA DAL (SECULAR)",KOLAR,371076,1127323,0.3292
"CHOUDHARY MAHENDRA PRATAP SINGH","INDIAN NATIONAL CONGRESS",DAMOH,299780,912080,0.3287
"B N BACHE GOWDA","BHARATIYA JANATA PARTY",CHIKKBALLAPUR,415280,1263274,0.3287
"SUNIL SOREN","BHARATIYA JANATA PARTY",DUMKA,296785,903060,0.3286
"CHHAGAN BHUJBAL","NATIONALIST CONGRESS PARTY",NASHIK,307399,937405,0.3279
"NAVNEET RAVI RANA","NATIONALIST CONGRESS PARTY",AMRAVATI,329280,1004061,0.3279
"MUKUL WASNIK","INDIAN NATIONAL CONGRESS",RAMTEK,344101,1050316,0.3276
"SAKET BAHUGUNA","INDIAN NATIONAL CONGRESS","TEHRI GARHWAL",254230,776214,0.3275
"SIRAJ UDDIN AJMAL","ALL INDIA UNITED DEMOCRATIC FRONT",BARPETA,394702,1205863,0.3273
"JAIPAL REDDY SUDINI","INDIAN NATIONAL CONGRESS",MAHBUBNAGAR,331638,1014800,0.3268
"MAHENDRA KUMAR ROY","COMMUNIST PARTY OF INDIA (MARXIST)",JALPAIGURI,425167,1302117,0.3265
"DR. DHARAM VIRA GANDHI","AAM AADMI PARTY",PATIALA,365671,1120933,0.3262
"PREMCHAND GUDDU","INDIAN NATIONAL CONGRESS",UJJAIN,331438,1016405,0.3261
"DR.DINESH PARMAR","INDIAN NATIONAL CONGRESS",KACHCHH,308373,946240,0.3259
"ASHOK KUMAR RAWAT","BAHUJAN SAMAJ PARTY",MISRIKH,325212,998314,0.3258
"SUBHAS NASKAR","REVOLUTIONARY SOCIALIST PARTY",JOYNAGAR,386362,1186052,0.3258
"RAVI NAIK","INDIAN NATIONAL CONGRESS","NORTH GOA",132304,406631,0.3254
"(DR) HARAK SINGH RAWAT","INDIAN NATIONAL CONGRESS",GARHWAL,221164,682024,0.3243
"NIKHIL KUMAR CHOUDHARY","BHARATIYA JANATA PARTY",KATIHAR,316552,977830,0.3237
"SRI. O RAJAGOPAL","BHARATIYA JANATA PARTY",THIRUVANANTHAPURAM,282336,873439,0.3232
"VAGISH PATHAK","BHARATIYA JANATA PARTY",BADAUN,332031,1027594,0.3231
G.S.BASAVARAJ,"BHARATIYA JANATA PARTY",TUMKUR,355827,1101484,0.3230
"CH.MALLA REDDY","TELUGU DESAM",MALKAJGIRI,523336,1620397,0.3230
"DR DILIP KUMAR JAISWAL","BHARATIYA JANATA PARTY",KISHANGANJ,298849,928490,0.3219
"VINOD KUMAR ALIAS PANDIT SINGH","SAMAJWADI PARTY",KAISERGANJ,303282,943357,0.3215
"DR.BHAGAVANTH RAO","BHARATIYA JANATA PARTY",HYDERABAD,311414,971421,0.3206
"PREM CHAND JAYASI","INDIAN NATIONAL CONGRESS",JANJGIR-CHAMPA,343948,1073347,0.3204
"PREM SINGH CHANDUMAJRA","SHIROMANI AKALI DAL","ANANDPUR SAHIB",347394,1086563,0.3197
"K.C.SINGH BABA","INDIAN NATIONAL CONGRESS","NAINITAL-UDHAMSINGH NAGAR",352052,1101435,0.3196
"JAGDAMBIKA PAL","BHARATIYA JANATA PARTY",DOMARIYAGANJ,298845,935027,0.3196
"RAJMOHAN GANDHI","AAM AADMI PARTY","EAST DELHI",381739,1196336,0.3191
"DILIP KUMAR TIRKEY","BIJU JANATA DAL",SUNDARGARH,321679,1010711,0.3183
"MEGHE SAGAR DATTATRAYA","INDIAN NATIONAL CONGRESS",WARDHA,321735,1013445,0.3175
"SHAILENDRA KUMAR","SAMAJWADI PARTY",KAUSHAMBI,288746,910038,0.3173
"ABDUL MANNAN HOSSAIN","INDIAN NATIONAL CONGRESS",MURSHIDABAD,408494,1287763,0.3172
"JAI PRAKASH NARAYAN YADAV","RASHTRIYA JANATA DAL",BANKA,285150,899353,0.3171
"DEORA MILIND MURLI","INDIAN NATIONAL CONGRESS","MUMBAI SOUTH",246632,780715,0.3159
"EKNATH M. GAIKWAD","INDIAN NATIONAL CONGRESS","MUMBAI SOUTH CENTRAL",242933,769060,0.3159
"PRADIP SAHA","COMMUNIST PARTY OF INDIA (MARXIST)",HOOGHLY,425228,1348870,0.3152
"DEBESH DAS","COMMUNIST PARTY OF INDIA (MARXIST)",BANGAON,404612,1283688,0.3152
